settlingTime,unsettled,overshoot,overshootTime,crossCount,riseTime,Kp,Kd,J
13.700000000000001,0,-1.053531231757482,14.600000000000001,1,11.100000000000001,0.0552,0.2,10800.0
13.9,0,-1.0216299724407705,14.8,1,11.200000000000001,0.0552,0.2,11000.0
13.600000000000001,0,-1.0214599686499923,14.5,1,11.0,0.0552,0.2,11200.0
13.700000000000001,0,-1.0065697957181143,14.600000000000001,1,11.0,0.0552,0.2,11400.0
13.700000000000001,0,-1.0375108494023308,14.600000000000001,1,11.100000000000001,0.0552,0.2,11600.0
13.5,0,-1.0412419657415768,14.4,1,10.8,0.0552,0.2,11800.0
13.5,0,-1.01210940732539,14.4,1,10.9,0.0552,0.2,12000.0
14.9,0,-1.0504850026936765,15.8,1,11.9,0.0552,0.22,10000.0
15.0,0,-1.0160291228550449,15.9,1,12.0,0.0552,0.22,10200.0
15.100000000000001,0,-1.0007753091688585,16.0,1,12.100000000000001,0.0552,0.22,10400.0
15.100000000000001,0,-1.0056222251699154,16.0,1,12.0,0.0552,0.22,10600.0
15.0,0,-1.0534890842375262,15.9,1,12.100000000000001,0.0552,0.22,10800.0
15.2,0,-1.0214844669045249,16.1,1,12.100000000000001,0.0552,0.22,11000.0
15.0,0,-1.052011888472471,15.9,1,12.0,0.0552,0.22,11200.0
15.100000000000001,0,-1.0211584993719853,16.0,1,12.100000000000001,0.0552,0.22,11400.0
15.100000000000001,0,-1.0506462743538378,16.0,1,12.200000000000001,0.0552,0.22,11600.0
15.2,0,-1.0354263696408026,16.1,1,12.200000000000001,0.0552,0.22,11800.0
15.3,0,-1.0350650153325986,16.2,1,12.3,0.0552,0.22,12000.0
15.2,0,-1.0065104270636027,16.1,1,12.200000000000001,0.0552,0.22,12200.0
15.2,0,-1.034740180728562,16.1,1,12.200000000000001,0.0552,0.22,12400.0
15.3,0,-1.0207390957027727,16.2,1,12.3,0.0552,0.22,12600.0
15.2,0,-1.007175593246231,16.1,1,12.100000000000001,0.0552,0.22,12800.0
15.100000000000001,0,-1.0385529572355168,16.0,1,12.200000000000001,0.0552,0.22,13000.0
15.100000000000001,0,-1.0641963986084804,16.0,1,12.200000000000001,0.0552,0.22,13200.0
15.2,0,-1.0626663675337653,16.1,1,12.3,0.0552,0.22,13600.0
13.200000000000001,0,-1.118748824306266,14.100000000000001,1,12.600000000000001,0.0552,0.22,19600.0
13.200000000000001,0,-1.1406802455419438,14.100000000000001,1,12.600000000000001,0.0552,0.22,20000.0
16.1,0,-1.0327360655736726,17.0,1,12.700000000000001,0.0552,0.24,10000.0
16.1,0,-1.0491859228822307,17.0,1,12.700000000000001,0.0552,0.24,10200.0
16.1,0,-1.0484818867470764,17.0,1,12.700000000000001,0.0552,0.24,10400.0
16.2,0,-1.0153948977780303,17.1,1,12.8,0.0552,0.24,10600.0
16.2,0,-1.0472710870788262,17.1,1,12.8,0.0552,0.24,10800.0
16.2,0,-1.0469962265802408,17.1,1,12.9,0.0552,0.24,11000.0
16.3,0,-1.0003319803596398,17.2,1,12.9,0.0552,0.24,11200.0
16.3,0,-1.0362330613039887,17.2,1,12.9,0.0552,0.24,11400.0
16.3,0,-1.0506350102331794,17.2,1,13.0,0.0552,0.24,11600.0
16.400000000000002,0,-1.020848624406625,17.3,1,13.0,0.0552,0.24,11800.0
16.400000000000002,0,-1.0063790110624637,17.3,1,13.0,0.0552,0.24,12000.0
16.400000000000002,0,-1.006473116138686,17.3,1,13.0,0.0552,0.24,12200.0
16.400000000000002,0,-1.0481524262132567,17.3,1,13.100000000000001,0.0552,0.24,12400.0
16.5,0,-1.0202965961292705,17.400000000000002,1,13.100000000000001,0.0552,0.24,12600.0
16.400000000000002,0,-1.0336046608896083,17.3,1,13.100000000000001,0.0552,0.24,12800.0
16.5,0,-1.0068297453635608,17.400000000000002,1,13.100000000000001,0.0552,0.24,13000.0
16.5,0,-1.032978057022298,17.400000000000002,1,13.100000000000001,0.0552,0.24,13200.0
16.5,0,-1.032752055608107,17.400000000000002,1,13.200000000000001,0.0552,0.24,13400.0
16.6,0,-1.0327432560720382,17.5,1,13.200000000000001,0.0552,0.24,13600.0
