settlingTime,unsettled,overshoot,overshootTime,crossCount,riseTime,Kp,Kd,J
11.4,0,-1.1764610674109903,12.3,2,11.0,0.0916,0.32,14600.0
11.5,0,-1.081328012104649,12.4,2,11.0,0.06820000000000001,0.24,14800.0
11.5,0,-1.1881211509787875,12.4,2,11.100000000000001,0.06820000000000001,0.24,15000.0
11.600000000000001,0,-1.0614130423692245,12.5,2,11.200000000000001,0.06820000000000001,0.24,15200.0
11.600000000000001,0,-1.165690969450992,12.5,2,11.200000000000001,0.07339999999999999,0.26,15400.0
11.700000000000001,0,-1.0315009339960284,12.600000000000001,2,11.3,0.07339999999999999,0.26,15600.0
12.0,0,-1.0834743986448885,12.9,1,11.4,0.0656,0.24,15800.0
12.0,0,-1.151337260531399,12.9,1,11.5,0.0604,0.22,16000.0
12.100000000000001,0,-1.0116841031329926,13.0,1,11.5,0.0656,0.24,16200.0
12.100000000000001,0,-1.0787672646749797,13.0,1,11.600000000000001,0.0604,0.22,16400.0
12.100000000000001,0,-1.1235246465966782,13.0,2,11.600000000000001,0.0708,0.26,16600.0
12.100000000000001,0,-1.1774477657666935,13.0,2,11.700000000000001,0.0812,0.3,16800.0
12.200000000000001,0,-1.0440593392430202,13.100000000000001,2,11.700000000000001,0.076,0.28,17000.0
12.5,0,-1.0616760278934336,13.4,1,11.9,0.063,0.24,17200.0
12.5,0,-1.1045720501494856,13.4,1,11.9,0.057800000000000004,0.22,17400.0
12.5,0,-1.1269605107021476,13.4,1,11.9,0.063,0.24,17600.0
12.5,0,-1.177815635940057,13.4,1,12.0,0.057800000000000004,0.22,17800.0
12.600000000000001,0,-1.0422842935248866,13.5,1,12.0,0.0526,0.2,18000.0
12.600000000000001,0,-1.0646191538025036,13.5,2,12.100000000000001,0.063,0.24,18200.0
12.9,0,-1.0528383421858294,13.8,1,12.200000000000001,0.0604,0.24,18400.0
12.9,0,-1.056096888973002,13.8,2,12.3,0.076,0.3,18600.0
12.9,0,-1.0867149355954382,13.8,1,12.3,0.0604,0.24,18800.0
12.9,0,-1.1257350937910573,13.8,1,12.3,0.05,0.2,19000.0
13.200000000000001,0,-1.086951128303646,14.100000000000001,1,12.5,0.0838,0.33999999999999997,19200.0
13.200000000000001,0,-1.0985837959096685,14.100000000000001,1,12.5,0.0604,0.24,19400.0
13.200000000000001,0,-1.118748824306266,14.100000000000001,1,12.600000000000001,0.0552,0.22,19600.0
13.200000000000001,0,-1.1124629422496781,14.100000000000001,1,12.600000000000001,0.0604,0.24,19800.0
13.200000000000001,0,-1.1406802455419438,14.100000000000001,1,12.600000000000001,0.05,0.2,20000.0
13.5,0,-1.1036683065463677,14.4,1,12.8,0.06820000000000001,0.28,20200.0
13.5,0,-1.080863451730366,14.4,1,12.8,0.063,0.26,20400.0
13.5,0,-1.0918775918698032,14.4,2,12.8,0.06820000000000001,0.28,20600.0
13.5,0,-1.0778884785633167,14.4,2,12.9,0.063,0.26,20800.0
13.8,0,-1.0428845350244416,14.700000000000001,1,13.0,0.063,0.26,21000.0
13.8,0,-1.03772945922897,14.700000000000001,1,13.0,0.057800000000000004,0.24,21200.0
13.700000000000001,0,-1.1643974854128558,14.600000000000001,2,13.100000000000001,0.0968,0.39999999999999997,21400.0
13.700000000000001,0,-1.1661705012276258,14.600000000000001,2,13.100000000000001,0.0812,0.33999999999999997,21600.0
14.0,0,-1.107986958362197,14.9,1,13.200000000000001,0.0708,0.3,21800.0
14.0,0,-1.0946144388135224,14.9,1,13.200000000000001,0.0656,0.28,22000.0
14.0,0,-1.0659975197485423,14.9,2,13.3,0.0708,0.3,22200.0
14.0,0,-1.0609122427927815,14.9,2,13.3,0.0656,0.28,22400.0
14.200000000000001,0,-1.145663457232807,15.100000000000001,2,13.4,0.1072,0.45999999999999996,22600.0
14.200000000000001,0,-1.1475074900060278,15.100000000000001,1,13.5,0.0552,0.24,22800.0
14.200000000000001,0,-1.1119526399182007,15.100000000000001,2,13.5,0.0656,0.28,23000.0
14.5,0,-1.0577475682715374,15.4,1,13.600000000000001,0.06820000000000001,0.3,23200.0
14.5,0,-1.0088764467010947,15.4,2,13.600000000000001,0.07339999999999999,0.32,23400.0
14.4,0,-1.1458310390087618,15.3,2,13.700000000000001,0.06820000000000001,0.3,23600.0
