J,Kp,Kd
14200.0,0.0916,0.32
14200.0,0.1046,0.36
14200.0,0.10980000000000001,0.38
14200.0,0.115,0.39999999999999997
14200.0,0.1202,0.42
14200.0,0.1254,0.43999999999999995
14200.0,0.1306,0.45999999999999996
14200.0,0.1358,0.48
14200.0,0.1436,0.49999999999999994
14200.0,0.1488,0.52
14200.0,0.154,0.54
14200.0,0.1592,0.5599999999999999
14200.0,0.16699999999999998,0.58
14200.0,0.1722,0.5999999999999999
14400.0,0.063,0.22
14400.0,0.06820000000000001,0.24
14400.0,0.07339999999999999,0.26
14400.0,0.0812,0.28
14400.0,0.0864,0.3
14400.0,0.0916,0.32
14400.0,0.0968,0.33999999999999997
14400.0,0.10980000000000001,0.38
14400.0,0.115,0.39999999999999997
14400.0,0.1202,0.42
14400.0,0.1436,0.49999999999999994
14400.0,0.16699999999999998,0.58
14400.0,0.1722,0.5999999999999999
14600.0,0.0916,0.32
14600.0,0.0968,0.33999999999999997
14600.0,0.10200000000000001,0.36
14600.0,0.10980000000000001,0.38
14600.0,0.115,0.39999999999999997
14600.0,0.1202,0.42
14600.0,0.1254,0.43999999999999995
14600.0,0.1306,0.45999999999999996
14600.0,0.1358,0.48
14600.0,0.14100000000000001,0.49999999999999994
14600.0,0.1462,0.52
14600.0,0.154,0.54
14600.0,0.1592,0.5599999999999999
14600.0,0.1644,0.58
14600.0,0.1696,0.5999999999999999
14800.0,0.06820000000000001,0.24
14800.0,0.07339999999999999,0.26
14800.0,0.0786,0.28
14800.0,0.0864,0.3
14800.0,0.0916,0.32
14800.0,0.0968,0.33999999999999997
14800.0,0.10200000000000001,0.36
14800.0,0.1202,0.42
14800.0,0.1254,0.43999999999999995
14800.0,0.1306,0.45999999999999996
14800.0,0.154,0.54
15000.0,0.06820000000000001,0.24
15000.0,0.07339999999999999,0.26
15000.0,0.0968,0.33999999999999997
15000.0,0.10200000000000001,0.36
15000.0,0.1072,0.38
15000.0,0.1124,0.39999999999999997
15000.0,0.1176,0.42
15000.0,0.1254,0.43999999999999995
15000.0,0.1306,0.45999999999999996
15000.0,0.1358,0.48
15000.0,0.14100000000000001,0.49999999999999994
15000.0,0.1462,0.52
15000.0,0.15139999999999998,0.54
15000.0,0.15660000000000002,0.5599999999999999
15000.0,0.1644,0.58
15000.0,0.1696,0.5999999999999999
15200.0,0.1696,0.5999999999999999
15400.0,0.1722,0.5999999999999999
15600.0,0.1462,0.52
15800.0,0.0656,0.24
15800.0,0.0708,0.26
15800.0,0.076,0.28
15800.0,0.0812,0.3
15800.0,0.0864,0.32
15800.0,0.0942,0.33999999999999997
15800.0,0.0994,0.36
15800.0,0.1046,0.38
15800.0,0.10980000000000001,0.39999999999999997
15800.0,0.115,0.42
15800.0,0.1202,0.43999999999999995
15800.0,0.1254,0.45999999999999996
15800.0,0.154,0.5599999999999999
15800.0,0.1592,0.58
16000.0,0.0604,0.22
16000.0,0.0656,0.24
16000.0,0.0708,0.26
16000.0,0.076,0.28
16000.0,0.1046,0.38
16000.0,0.10980000000000001,0.39999999999999997
16000.0,0.115,0.42
16000.0,0.1202,0.43999999999999995
16000.0,0.1254,0.45999999999999996
16000.0,0.1306,0.48
16000.0,0.1358,0.49999999999999994
16000.0,0.14100000000000001,0.52
16000.0,0.1462,0.54
16000.0,0.15139999999999998,0.5599999999999999
16000.0,0.15660000000000002,0.58
16000.0,0.1618,0.5999999999999999
16200.0,0.1358,0.49999999999999994
16400.0,0.1644,0.5999999999999999
16600.0,0.1462,0.54
16800.0,0.1644,0.5999999999999999
17000.0,0.15660000000000002,0.58
17200.0,0.063,0.24
17200.0,0.06820000000000001,0.26
17200.0,0.07339999999999999,0.28
17200.0,0.0786,0.3
17200.0,0.0838,0.32
17200.0,0.089,0.33999999999999997
17200.0,0.0942,0.36
17200.0,0.0994,0.38
17200.0,0.1046,0.39999999999999997
17400.0,0.057800000000000004,0.22
17400.0,0.063,0.24
17400.0,0.06820000000000001,0.26
17400.0,0.07339999999999999,0.28
17400.0,0.0786,0.3
17400.0,0.0838,0.32
17400.0,0.1046,0.39999999999999997
17400.0,0.10980000000000001,0.42
17400.0,0.115,0.43999999999999995
17400.0,0.1202,0.45999999999999996
17400.0,0.1254,0.48
17400.0,0.1306,0.49999999999999994
17400.0,0.1358,0.52
17400.0,0.14100000000000001,0.54
17400.0,0.1462,0.5599999999999999
17400.0,0.15139999999999998,0.58
17400.0,0.15660000000000002,0.5999999999999999
17600.0,0.063,0.24
17600.0,0.06820000000000001,0.26
17600.0,0.07339999999999999,0.28
17600.0,0.0786,0.3
17600.0,0.0838,0.32
17600.0,0.089,0.33999999999999997
17600.0,0.0942,0.36
17600.0,0.0994,0.38
17600.0,0.1046,0.39999999999999997
17600.0,0.10980000000000001,0.42
17600.0,0.115,0.43999999999999995
17600.0,0.1202,0.45999999999999996
17800.0,0.057800000000000004,0.22
17800.0,0.063,0.24
17800.0,0.06820000000000001,0.26
17800.0,0.07339999999999999,0.28
17800.0,0.0786,0.3
17800.0,0.0838,0.32
17800.0,0.089,0.33999999999999997
17800.0,0.0994,0.38
17800.0,0.1046,0.39999999999999997
17800.0,0.10980000000000001,0.42
17800.0,0.115,0.43999999999999995
17800.0,0.1202,0.45999999999999996
17800.0,0.1254,0.48
17800.0,0.1306,0.49999999999999994
17800.0,0.1358,0.52
17800.0,0.14100000000000001,0.54
17800.0,0.1462,0.5599999999999999
17800.0,0.15139999999999998,0.58
17800.0,0.15660000000000002,0.5999999999999999
18000.0,0.1306,0.49999999999999994
18200.0,0.0838,0.32
18400.0,0.0604,0.24
18400.0,0.0656,0.26
18400.0,0.1072,0.42
18400.0,0.1124,0.43999999999999995
18400.0,0.1176,0.45999999999999996
18400.0,0.1228,0.48
18400.0,0.128,0.49999999999999994
18400.0,0.13319999999999999,0.52
18400.0,0.1384,0.54
18400.0,0.1436,0.5599999999999999
18400.0,0.1488,0.58
18400.0,0.154,0.5999999999999999
18600.0,0.076,0.3
18600.0,0.0812,0.32
18600.0,0.0864,0.33999999999999997
18600.0,0.0916,0.36
18600.0,0.0968,0.38
18600.0,0.10200000000000001,0.39999999999999997
18600.0,0.1072,0.42
18600.0,0.1124,0.43999999999999995
18600.0,0.1176,0.45999999999999996
18600.0,0.1228,0.48
18600.0,0.128,0.49999999999999994
18600.0,0.13319999999999999,0.52
18600.0,0.1384,0.54
18600.0,0.1436,0.5599999999999999
18600.0,0.1488,0.58
18600.0,0.154,0.5999999999999999
18800.0,0.0604,0.24
18800.0,0.0656,0.26
18800.0,0.0708,0.28
18800.0,0.076,0.3
18800.0,0.10200000000000001,0.39999999999999997
18800.0,0.1072,0.42
18800.0,0.1124,0.43999999999999995
18800.0,0.1176,0.45999999999999996
18800.0,0.1228,0.48
18800.0,0.128,0.49999999999999994
18800.0,0.13319999999999999,0.52
18800.0,0.1384,0.54
18800.0,0.1436,0.5599999999999999
18800.0,0.1488,0.58
18800.0,0.15139999999999998,0.5999999999999999
19000.0,0.05,0.2
19000.0,0.076,0.3
19000.0,0.0812,0.32
19000.0,0.0864,0.33999999999999997
19000.0,0.0916,0.36
19000.0,0.0968,0.38
19000.0,0.10200000000000001,0.39999999999999997
19000.0,0.1072,0.42
19000.0,0.1124,0.43999999999999995
19000.0,0.1176,0.45999999999999996
19000.0,0.1228,0.48
19000.0,0.128,0.49999999999999994
19000.0,0.13319999999999999,0.52
19000.0,0.1384,0.54
19000.0,0.1436,0.5599999999999999
19000.0,0.1488,0.58
19000.0,0.154,0.5999999999999999
19200.0,0.14100000000000001,0.5599999999999999
19400.0,0.15139999999999998,0.5999999999999999
